Source page: http://www.encyclopedia-titanica.org/titanic-victims/,
col_image,col_image/_alt,name_link,name_link/_text,name_link/_title,age_link,age_link/_text,age_link/_title,classdept_link,classdept_link/_text,classdept_link/_title,joined_link,joined_link/_text,joined_link/_title,job_link,job_link/_text,job_link/_title,boatbody_links,boatbody_links/_text,boatbody_links/_title,age_link_numbers,classdept_value,ticket_values,ticket_values_prices
"http://www.encyclopedia-titanica.org/images/frankandrew_thm.jpg","","http://www.encyclopedia-titanica.org/titanic-victim/frank-thomas-andrew.html","ANDREW, Mr Frank Thomas","","http://www.encyclopedia-titanica.org/titanic-ages/25.html","25","","http://www.encyclopedia-titanica.org/titanic-second-class-passengers/","2nd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/miner.html","Miner","","","","","25","","34050; £10 10s","10"
"http://www.encyclopedia-titanica.org/images/andrews_100.jpg","","http://www.encyclopedia-titanica.org/titanic-victim/thomas-andrews.html","ANDREWS, Mr Thomas","","http://www.encyclopedia-titanica.org/titanic-ages/39.html","39","","http://www.encyclopedia-titanica.org/titanic-first-class-passengers/","1st Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/belfast.html","Belfast","","http://www.encyclopedia-titanica.org/titanic-jobs/shipbuilder.html","Shipbuilder","","","","","39","H&W Guarantee Group","112050",""
"http://www.encyclopedia-titanica.org/files/1/thumbnails/Minko-Angelov.jpg_100x100.jpg","","http://www.encyclopedia-titanica.org/titanic-victim/minko-angheloff.html","ANGHELOFF, Mr Minko","","http://www.encyclopedia-titanica.org/titanic-ages/26.html","26","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/general-labourer.html","General Labourer","","","","","26","","349202; £7 17s 11d","7"
"","","http://www.encyclopedia-titanica.org/titanic-victim/william-angle.html","ANGLE, Mr William","","http://www.encyclopedia-titanica.org/titanic-ages/32.html","32","","http://www.encyclopedia-titanica.org/titanic-second-class-passengers/","2nd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/tile-maker.html","Tile Maker","","","","","32","","226875; £26","26"
"","","http://www.encyclopedia-titanica.org/titanic-victim/josef-arnold-franchi.html","ARNOLD-FRANCHI, Mr Josef","","http://www.encyclopedia-titanica.org/titanic-ages/25.html","25","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/general-labourer.html","General Labourer","","","","","25","","349237; £17 16s","17"
"","","http://www.encyclopedia-titanica.org/titanic-victim/josefine-arnold-franchi.html","ARNOLD-FRANCHI, Mrs Josefine","","http://www.encyclopedia-titanica.org/titanic-ages/18.html","18","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","","","","18","","349237; £17 16s","17"
"","","http://www.encyclopedia-titanica.org/titanic-victim/ernst-axel-algot-aronsson.html","ARONSSON, Mr Ernst Axel Algot","","http://www.encyclopedia-titanica.org/titanic-ages/24.html","24","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/general-labourer.html","General Labourer","","","","","24","","349911; £7 15s 6d","7"
"http://www.encyclopedia-titanica.org/images/artagaveytia_r_thm2.jpg","","http://www.encyclopedia-titanica.org/titanic-victim/ramon-artagaveytia.html","ARTAGAVEYTIA, Mr Ramon","","http://www.encyclopedia-titanica.org/titanic-ages/71.html","71","","http://www.encyclopedia-titanica.org/titanic-first-class-passengers/","1st Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/cherbourg.html","Cherbourg","","http://www.encyclopedia-titanica.org/titanic-jobs/businessman.html","Businessman","","http://www.encyclopedia-titanica.org/description-of-recovered-titanic-bodies.html#22","[22]","","71","","17609; £49 10s 1d","49"
"","","http://www.encyclopedia-titanica.org/titanic-victim/john-ashby.html","ASHBY, Mr John","","http://www.encyclopedia-titanica.org/titanic-ages/57.html","57","","http://www.encyclopedia-titanica.org/titanic-second-class-passengers/","2nd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","","","","57","","244346; £13","13"
"","","http://www.encyclopedia-titanica.org/titanic-victim/austin-aloysius-ashcroft.html","ASHCROFT, Mr Austin Aloysius","","http://www.encyclopedia-titanica.org/titanic-ages/26.html","26","","http://www.encyclopedia-titanica.org/titanic-victualling-crew/","Victualling Crew","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/clerk.html","Clerk","","","","","26","","",""
